Messstelle;A.10.1;A.10-11.1;A.11.1;A.11-12.1;A.11-12.3;A.12.1;A.1-2.1;A.1-2.3;A.12-13.1;A.12-13.3;A.2.1;A.2-3.1;A.2-3.3;A.3.1;A.3-4.1;A.4.1;A.4-5.1;A.5.1;A.5-6.1;A.6.1;A.6-7.1;A.7.1;A.7.2;A.7-8.1;A.7-8.11;A.7-8.3;A.8.1;A.8.2;A.8-9.1;A.8-9.3;A.9.1;A.9-10.1;AB.1.REF;B.10.2;B.10-11.2;B.11-12.2;B.11-12.4;B.12.2;B.1-2.2;B.1-2.4;B.12-13.2;B.12-13.4;B.2.2;B.2-3.2;B.2-3.4;B.3.2;B.3-4.2;B.4.2;B.4-5.2;B.5.2;B.5-6.2;B.6.2;B.6-7.2;B.6-7.4;B.7.2;B.7-8.2;B.7-8.22;B.7-8.4;B.8.2;B.8-9.2;B.9.2;B.9-10.2;
Nullmessung;16.12.2020 08:00;16.12.2020 08:00;16.12.2020 08:00;16.12.2020 08:00;16.12.2020 08:00;16.12.2020 08:00;16.12.2020 08:00;16.12.2020 08:00;16.12.2020 08:00;16.12.2020 08:00;16.12.2020 08:00;16.12.2020 08:00;16.12.2020 08:00;16.12.2020 08:00;16.12.2020 08:00;16.12.2020 08:00;16.12.2020 08:00;16.12.2020 08:00;16.12.2020 08:00;16.12.2020 08:00;16.12.2020 08:00;16.12.2020 08:00;16.12.2020 08:00;16.12.2020 08:00;16.12.2020 08:00;16.12.2020 08:00;16.12.2020 08:00;16.12.2020 08:00;16.12.2020 08:00;16.12.2020 08:00;16.12.2020 08:00;16.12.2020 08:00;16.12.2020 09:00;16.12.2020 08:00;16.12.2020 08:00;16.12.2020 08:00;16.12.2020 08:00;16.12.2020 08:00;16.12.2020 08:00;16.12.2020 08:00;16.12.2020 08:00;16.12.2020 08:00;16.12.2020 08:00;16.12.2020 08:00;16.12.2020 08:00;16.12.2020 08:00;16.12.2020 08:00;16.12.2020 08:00;16.12.2020 08:00;16.12.2020 08:00;16.12.2020 08:00;16.12.2020 08:00;16.12.2020 08:00;16.12.2020 08:00;16.12.2020 08:00;16.12.2020 08:00;16.12.2020 08:00;16.12.2020 08:00;16.12.2020 08:00;16.12.2020 08:00;16.12.2020 08:00;16.12.2020 08:00;
;dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];
;0.2400;0.2367;0.2300;0.2067;0.2300;0.1800;0.0333;0.1900;0.1867;0.2000;0.0567;0.0000;0.3667;0.1500;0.0867;0.1133;-0.0067;-0.0600;0.0467;0.1767;0.2333;-0.0433;0.0200;0.0367;0.4000;0.0567;0.4033;0.7000;0.4000;0.5067;0.3467;0.2500;0.0000;0.2467;0.2100;0.1867;0.2000;0.2000;0.1333;0.1567;0.2067;0.2367;0.0000;0.0900;0.1900;0.0367;0.0000;-0.0733;0.0667;0.0233;0.1200;0.1600;0.1733;0.1567;0.2033;0.3867;0.2700;0.2467;0.5333;0.5067;0.1667;0.2467;
Neue Nullmessung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
g?ltig ab;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Messadapteroffset;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Folgemessungen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];dH [mm];
06.02.2024 23:55;-2.3047;-2.3917;-2.1387;-1.7417;-2.7577;-2.0247;0.8910;-0.1090;-1.0157;-3.6257;0.2940;-0.4830;1.0580;2.0520;4.6690;2.8140;0.9306;3.7913;2.7234;5.3193;2.3743;7.2973;4.8573;5.2123;3.6633;2.8853;-0.7177;4.1363;-1.5357;-1.9747;-0.7287;-2.6107;0.0000;-1.5027;-1.5057;-1.2167;-2.8017;-0.5307;0.7060;-0.0200;-0.4707;-3.5717;1.6740;1.8340;0.7720;1.7590;2.0420;-2.3300;-0.9640;0.5060;4.5362;1.9458;9.5573;4.6643;7.3103;7.0343;3.5233;2.6883;-1.3367;-2.0177;0.0193;-1.6187;
06.02.2024 23:50;-2.9723;-3.1113;-2.9533;-2.5203;-3.5423;-2.8353;0.7280;-0.4890;-1.7973;-4.3013;-0.0630;-0.8290;0.5910;1.5430;4.2700;2.1860;0.2892;3.1611;2.0950;4.6937;1.9227;6.9977;4.7567;4.7997;3.3297;2.3497;-1.1483;3.7597;-2.4573;-2.6003;-1.4163;-3.2793;0.0000;-2.1693;-2.2223;-2.0193;-3.4243;-1.3033;0.1720;-0.3940;-1.1923;-4.2873;1.3710;1.4070;0.2460;1.3550;1.7430;-2.3669;-1.5840;-0.0860;3.9084;1.3152;9.0007;4.1457;7.4977;6.6017;3.2837;2.2857;-2.0593;-2.7763;-0.6063;-2.3223;
06.02.2024 23:45;-2.4433;-2.8673;-2.3233;-1.8163;-2.9873;-1.9803;0.6340;-0.5140;-0.8533;-3.8753;-0.1530;-0.8330;0.2030;1.6050;4.2820;2.4920;0.6060;3.4682;2.4016;4.9907;2.3177;7.4287;5.0597;5.1277;3.5277;3.1717;-0.9183;4.3107;-1.7063;-2.3783;-1.1573;-2.6393;0.0000;-1.6373;-1.9833;-1.3303;-3.1483;-0.5553;0.2770;-0.3750;-0.6143;-4.0503;1.3010;1.3580;0.3710;1.3790;1.7020;-2.3624;-1.3530;0.2370;4.2139;1.5768;9.5877;4.7557;7.7517;6.9107;3.2937;2.4917;-1.4863;-2.1323;0.0667;-1.6903;
06.02.2024 23:40;-2.8193;-2.6943;-2.6163;-2.2293;-3.2293;-2.4873;0.6320;-0.8130;-1.3973;-3.9713;-0.1460;-0.8470;0.5640;1.4340;4.1380;2.3030;0.4154;3.2808;2.2132;4.8167;1.8267;7.0547;4.6327;4.7727;3.3757;2.2937;-0.9953;4.2647;-2.0933;-2.7073;-1.2253;-3.0593;0.0000;-1.9793;-2.0143;-1.7093;-3.0153;-1.0363;0.2550;-0.3830;-0.8333;-3.8473;1.2780;1.5240;0.0590;1.3360;1.5550;-2.3782;-1.4910;0.0810;4.0257;1.4282;9.2267;4.3637;7.5097;6.6157;3.0587;2.8197;-1.8443;-2.5513;-0.2993;-2.1303;
