Datum,dH [mm],dH [mm].1,dH [mm].2,dH [mm].3,dH [mm].4,dH [mm].5,dH [mm].6,dH [mm].7,dH [mm].8,dH [mm].9,dH [mm].10,dH [mm].11,dH [mm].12,dH [mm].13,dH [mm].14,dH [mm].15,dH [mm].16,dH [mm].17,dH [mm].18,dH [mm].19,dH [mm].20,dH [mm].21,dH [mm].22,dH [mm].23,dH [mm].24,dH [mm].25,dH [mm].26,dH [mm].27,dH [mm].28,dH [mm].29,dH [mm].30,dH [mm].31,dH [mm].32,dH [mm].33,dH [mm].34,dH [mm].35,dH [mm].36,dH [mm].37,dH [mm].38,dH [mm].39,dH [mm].40,dH [mm].41,dH [mm].42,dH [mm].43,dH [mm].44,dH [mm].45,dH [mm].46,dH [mm].47,dH [mm].48,dH [mm].49,dH [mm].50,dH [mm].51,dH [mm].52,dH [mm].53,dH [mm].54,dH [mm].55,dH [mm].56,dH [mm].57,dH [mm].58,dH [mm].59,dH [mm].60,dH [mm].61,Unnamed: 63
05.02.2024 00:00,-7.8909,-7.8279,-7.6179,-7.2689,-8.3529,-7.3319,0.333,-0.419,-6.3959,-8.9869,-0.105,-0.919,0.396,1.711,4.278,1.919,0.0491,2.8958,1.8276,4.4321,-3.8159,0.4221,-1.9189,-1.3079,-2.4029,-3.7909,-6.6109,-1.4529,-7.1679,-7.9579,-6.4539,-8.1589,0.0,-7.1019,-6.9619,-6.6659,-8.1879,-6.0689,0.496,-0.244,-5.9759,-8.9999,1.623,1.324,0.263,1.233,1.524,-2.3765,-1.999,-0.363,3.6423,1.0476,2.7061,-1.9529,0.3781,0.2881,-2.4609,-3.3739,-6.8949,-7.6899,-5.6699,-7.2519,
05.02.2024 00:05,-7.5994,-7.5814,-7.3754,-7.0484,-8.0824,-7.0414,0.274,-0.503,-6.1574,-8.8044,-0.187,-1.032,0.208,1.577,4.158,1.913,0.0492,2.8892,1.821,4.4146,-3.7134,0.4466,-1.8314,-1.1514,-2.4154,-3.6034,-6.4164,-1.3394,-6.8044,-7.7114,-6.2004,-7.8904,0.0,-6.8114,-6.7524,-6.4524,-7.9394,-5.7904,0.428,-0.166,-5.7014,-8.7194,1.566,1.234,0.024,1.082,1.4,-2.3884,-1.995,-0.36,3.6353,1.0292,2.7256,-2.0714,0.4066,0.4086,-2.3594,-2.8924,-6.6084,-7.4224,-5.4784,-6.9634,
05.02.2024 00:10,-8.5274,-8.4284,-8.2854,-7.8744,-8.9234,-7.8884,0.024,-0.663,-6.9744,-9.6374,-0.47,-1.209,-0.188,1.262,3.866,1.581,-0.2792,2.5579,1.4896,4.0876,-4.1564,0.3076,-2.1134,-1.4474,-2.6394,-3.8794,-6.9754,-1.8304,-7.7004,-8.9794,-7.1744,-8.8394,0.0,-7.7374,-7.6554,-7.2094,-8.8224,-6.6514,0.181,-0.697,-6.6114,-9.6844,1.329,0.78,-0.19,0.807,1.185,-2.4163,-2.36,-0.682,3.3036,0.7042,2.4966,-2.1804,0.2266,0.0126,-2.7084,-3.4994,-7.5524,-8.1764,-6.3494,-7.8864,
05.02.2024 00:15,-7.9672,-7.9502,-7.7552,-7.4212,-8.5382,-7.4452,0.268,-0.444,-6.5162,-9.1952,-0.188,-0.929,0.492,1.678,4.185,2.023,0.1727,3.0003,1.9317,4.5328,-3.8192,0.4318,-1.8172,-1.3542,-2.4122,-3.6952,-6.6362,-1.6092,-7.2032,-7.9992,-6.5142,-8.1982,0.0,-7.1922,-7.1652,-6.8112,-8.3732,-6.1472,0.596,-0.305,-6.0872,-9.1332,1.619,1.261,0.216,1.18,1.479,-2.3797,-1.855,-0.251,3.7456,1.1392,2.6788,-1.8012,0.3828,0.1978,-2.4862,-3.4232,-6.9332,-7.5962,-5.6452,-7.2462,
05.02.2024 00:20,-7.8025,-7.8015,-7.6255,-7.2145,-8.2065,-7.2215,0.324,-0.344,-6.3255,-8.9985,-0.031,-0.833,0.367,1.462,4.258,1.906,0.036,2.8824,1.8145,4.4085,-3.7975,0.4715,-1.7105,-1.2845,-2.3375,-3.8165,-6.5555,-1.5165,-7.1125,-7.9585,-6.5565,-8.1225,0.0,-7.0255,-7.0305,-6.5465,-8.2255,-5.9725,0.624,-0.063,-5.8875,-9.0115,1.7,1.475,0.151,1.24,1.538,-2.3814,-2.075,-0.366,3.6281,1.0358,2.7265,-1.8055,0.5795,0.1185,-2.5285,-3.2975,-6.8865,-7.5005,-5.7745,-7.1355,
05.02.2024 00:25,-8.3188,-8.3558,-8.1308,-7.7488,-8.7648,-7.7628,0.22,-0.516,-6.8788,-9.5378,-0.255,-0.976,0.177,1.227,4.075,1.549,-0.3089,2.5264,1.4579,4.0632,-4.3378,0.1722,-2.2068,-1.5148,-2.6428,-3.9168,-6.8968,-1.8818,-7.5708,-8.3838,-6.7978,-8.5688,0.0,-7.5378,-7.4898,-7.1218,-8.7178,-6.5368,0.47,-0.066,-6.4408,-9.5248,1.549,1.395,0.017,1.026,1.456,-2.3854,-2.369,-0.704,3.2718,0.6894,2.2232,-2.2758,0.3082,-0.0158,-2.7728,-3.6798,-7.3258,-8.0138,-6.0758,-7.6388,
05.02.2024 00:30,-8.0815,-8.1025,-7.8235,-7.5135,-8.5245,-7.5035,0.193,-0.522,-6.6435,-9.3635,-0.26,-0.944,0.491,1.558,4.318,1.965,0.111,2.9411,1.8741,4.4725,-3.8585,0.4045,-1.8245,-1.0785,-2.3005,-3.5425,-6.5705,-1.4665,-7.3025,-8.2425,-6.5135,-8.3185,0.0,-7.2645,-7.1825,-6.8415,-8.4625,-6.2845,0.337,-0.192,-6.1525,-9.3095,1.567,1.207,0.399,1.177,1.541,-2.378,-1.903,-0.325,3.6876,1.0948,2.6435,-1.6615,0.5775,0.2685,-2.4305,-3.4125,-7.1185,-7.8995,-5.9265,-7.4555,
05.02.2024 00:35,-8.1475,-8.1665,-7.9355,-7.6595,-8.5425,-7.6455,0.276,-0.584,-6.7195,-9.4635,-0.322,-1.013,-0.397,1.352,4.083,1.746,-0.1132,2.7218,1.6547,4.2515,-4.0045,0.3705,-1.8665,-1.2425,-2.5485,-3.6575,-6.8925,-1.6825,-7.4715,-8.2575,-6.7265,-8.3945,0.0,-7.3775,-7.3145,-6.8905,-8.4645,-6.3795,0.387,-0.318,-6.2915,-9.3575,1.434,0.858,0.197,0.98,1.276,-2.4031,-2.225,-0.573,3.4683,0.8798,2.5895,-1.8445,0.4585,0.0745,-2.6135,-3.5475,-7.1635,-7.8335,-6.1235,-7.4645,
05.02.2024 00:40,-7.7199,-7.6049,-7.5049,-7.0769,-8.1509,-7.1289,0.154,-0.513,-6.1659,-8.8819,-0.336,-1.072,0.381,1.31,4.018,2.002,0.142,2.9762,1.9104,4.5081,-3.4969,0.7391,-1.4719,-0.9469,-2.0749,-3.1049,-6.3659,-1.2759,-7.1069,-7.7359,-6.4069,-7.9539,0.0,-6.9179,-6.7439,-6.4679,-8.0099,-5.8779,0.444,-0.227,-5.7599,-8.8169,1.461,1.4,-0.322,0.995,1.324,-2.3927,-1.98,-0.352,3.7243,1.128,2.9651,-1.4129,0.6991,0.5151,-2.1609,-3.1449,-6.7169,-7.4829,-5.6089,-7.0039,
05.02.2024 00:45,-8.1023,-8.0843,-7.8603,-7.5363,-8.4923,-7.4713,0.235,-0.597,-6.5173,-9.0733,-0.373,-1.123,0.252,1.592,4.117,1.818,-0.0441,2.7937,1.7261,4.3177,-3.8283,0.5517,-1.7893,-1.1493,-2.4883,-3.5643,-6.6343,-1.6253,-7.2133,-8.2093,-6.7243,-8.3443,0.0,-7.2773,-7.3233,-6.8833,-8.3043,-6.1503,0.241,-0.344,-6.0833,-9.1093,1.432,1.29,-0.182,0.979,1.368,-2.3965,-2.079,-0.535,3.5402,0.937,2.6807,-1.7863,0.6157,0.2297,-2.4173,-3.3243,-7.0033,-7.7073,-5.7153,-7.3963,
